"","...1","PID","M_edu","F_edu","Pol_ideo","GPA","Extraversion_T","Agreeableness_T","Conscientiousness_T","Neuroticism_T","Openness_T"
"55",55,61,"5","4",2,3.81,1.83333333333333,4.25,2.58333333333333,4.25,4.5
"56",56,62,"4","8",3,4,3.25,3.91666666666667,2.83333333333333,2.66666666666667,3.66666666666667
"57",57,63,NA,NA,0,3.7,2.33333333333333,4.25,3.16666666666667,2.58333333333333,3.33333333333333
"58",58,64,"7","7",3,3.6,3.41666666666667,3.83333333333333,2.75,2.75,4.58333333333333
"59",59,65,"7","7",2,3.65,2.33333333333333,3.75,2.91666666666667,3.5,3.83333333333333
"60",60,66,"8","4",1,3.9,3.25,4.5,2.91666666666667,2.16666666666667,4.83333333333333
"61",61,67,"5","7",1,3.77,3.75,4.08333333333333,4,3.16666666666667,5
"62",62,68,"5","4",0,3.98,2.16666666666667,3.83333333333333,3.83333333333333,3.91666666666667,1.91666666666667
"63",63,70,"7","4",4,3.93,3.5,3.58333333333333,4,2.83333333333333,4.83333333333333
"64",64,71,"4","4",2,3.6,3.08333333333333,3.25,4.08333333333333,3.83333333333333,3.75
"65",65,72,"5","5",4,3.31,4,3.91666666666667,3.41666666666667,3.16666666666667,3.91666666666667
"66",66,73,"5","8",6,4,2.25,3.91666666666667,4.58333333333333,2.91666666666667,3.83333333333333
"67",67,74,"5","4",3,3.3,4.16666666666667,4.08333333333333,4.66666666666667,2.25,4.75
"68",68,75,"4","4",3,4,3.33333333333333,4.33333333333333,3.91666666666667,1.91666666666667,4.16666666666667
"69",69,76,"1","3",2,2.95,3.41666666666667,4.16666666666667,3.5,3.08333333333333,3.83333333333333
"70",70,77,"7","7",3,3.87,3.33333333333333,4.41666666666667,3.83333333333333,3.08333333333333,4.33333333333333
"71",71,78,"5","5",3,4,3.91666666666667,4.66666666666667,3.83333333333333,2.16666666666667,4
"72",72,79,"5","3",2,NA,3.33333333333333,3.91666666666667,4.08333333333333,3.08333333333333,4.16666666666667
"73",73,80,"4","7",3,3.97,2,3.5,4.5,3.25,4
"74",74,81,"5","5",3,3.5,3.66666666666667,4.5,2.66666666666667,2.08333333333333,3.75
"75",75,82,"5","5",3,NA,2.58333333333333,4.75,3.75,3.66666666666667,3.83333333333333
"76",76,83,"3",NA,3,3.2,4.33333333333333,3.16666666666667,4.08333333333333,3.5,3.83333333333333
"77",77,85,"7","7",3,3.85,2.91666666666667,3.83333333333333,3.33333333333333,2.58333333333333,3.75
"78",78,86,"7","7",3,3.99,3.25,3.83333333333333,4.08333333333333,2.91666666666667,3.33333333333333
"79",79,87,"4","1",3,3.14,2.25,3.25,2.5,4.08333333333333,3.91666666666667
"80",80,88,"8","5",2,NA,3.75,4.25,3.08333333333333,2.91666666666667,4.25
"81",81,89,"7","4",5,4,3.41666666666667,4,4.58333333333333,1.75,3.66666666666667
"82",82,90,"6","4",3,3.13,2.83333333333333,4.5,3,2.91666666666667,4.16666666666667
"83",83,91,"7","4",3,NA,3.66666666666667,4.41666666666667,4.33333333333333,3.66666666666667,3.16666666666667
"84",84,92,"3","1",5,3,3.91666666666667,3.33333333333333,3.33333333333333,3.25,4.16666666666667
"85",85,93,"7","7",2,3.56,2.75,3.58333333333333,3.25,4.08333333333333,2.5
"86",86,94,"1","1",3,NA,2.75,4.08333333333333,3.41666666666667,2.66666666666667,2.91666666666667
"87",87,95,"5","8",0,3.61,2.91666666666667,4.66666666666667,3.5,2.91666666666667,4.83333333333333
"88",88,96,"4","4",1,3.57,2.5,3.83333333333333,3.25,3.5,4.16666666666667
"89",89,97,NA,"1",2,NA,2.66666666666667,3.41666666666667,2.91666666666667,3.75,3.41666666666667
"90",90,98,"6","6",0,3.6,2.83333333333333,3.66666666666667,3.16666666666667,2.83333333333333,4.5
"91",91,99,"4","5",3,3.94,2.08333333333333,4.5,3.91666666666667,3.25,3.58333333333333
"92",92,100,"4","7",3,3.75,3.5,4.08333333333333,4.16666666666667,3.5,3.41666666666667
"93",93,101,"1","4",5,3.94,3.33333333333333,3.75,3.58333333333333,2.83333333333333,3.25
"94",94,102,"7","5",2,NA,3.41666666666667,3,3.66666666666667,2.5,3.83333333333333
"95",95,103,"6","6",1,3.76,3.25,4.58333333333333,4.33333333333333,2.83333333333333,3.91666666666667
"96",96,104,"5","5",3,3.95,2.08333333333333,4.66666666666667,2.58333333333333,3.41666666666667,3.66666666666667
"97",97,105,"7","7",3,3.94,3.66666666666667,4.25,2.75,3.25,4.66666666666667
"98",98,106,"4","5",2,3.68,2.83333333333333,3.58333333333333,4,3.5,4.66666666666667
"99",99,107,"4","4",3,3.81,3.41666666666667,4.25,2.16666666666667,4.75,3.91666666666667
"100",100,108,"4","4",3,3.87,4.41666666666667,4.91666666666667,4.16666666666667,2.83333333333333,3.58333333333333
"101",101,109,"7","7",2,3.34,3.41666666666667,3.66666666666667,3,2.41666666666667,3.25
"102",102,110,"8","7",2,3.51,3.33333333333333,3.83333333333333,3.83333333333333,3.33333333333333,2.91666666666667
"103",103,111,"1","1",1,3.97,2.83333333333333,3.83333333333333,3.66666666666667,4.25,4.33333333333333
"104",104,112,"4","4",0,3.3,1.91666666666667,3.91666666666667,2.91666666666667,3,3.16666666666667
"105",105,113,"6","5",3,3.29,2.83333333333333,3.5,3.83333333333333,2.33333333333333,3.08333333333333
"106",106,114,"7","7",1,3.98,4.41666666666667,3.33333333333333,3.08333333333333,2.83333333333333,4.58333333333333
"107",107,115,"6","6",3,3.94,3.16666666666667,3.66666666666667,3,3.91666666666667,3.83333333333333
"108",108,116,"4","5",4,4,4.5,3.41666666666667,3.5,3.33333333333333,4
"109",109,117,"8","8",1,3.74,3.58333333333333,3.16666666666667,2.75,4.16666666666667,4.58333333333333
"110",110,118,"4","4",1,3.98,4.25,4.66666666666667,3.91666666666667,2.91666666666667,3.25
"111",111,119,"4","7",1,3.95,3.91666666666667,2.91666666666667,3,3.16666666666667,3
"112",112,120,"1","1",2,3.83,3.75,4.58333333333333,3.75,2.25,3.66666666666667
"113",113,121,"6","6",1,3.5,3.16666666666667,4.66666666666667,4.41666666666667,2.33333333333333,3.5
"114",114,122,"1","1",4,3.27,2.41666666666667,4,4,3.75,2.91666666666667
"115",115,123,"6","6",4,3.83,3.33333333333333,3.83333333333333,3.08333333333333,3.41666666666667,3.08333333333333
"116",116,124,"4",NA,6,3.46,4,2.66666666666667,3.91666666666667,2.58333333333333,4.08333333333333
"117",117,125,"4","5",2,4,2.33333333333333,3.58333333333333,2.91666666666667,4.25,4.33333333333333
"118",118,126,"1","5",0,3.7,3,3.75,4.25,2.5,3.41666666666667
"119",119,127,"8","4",2,4,2.58333333333333,3.91666666666667,3.75,2.41666666666667,3.83333333333333
"120",120,128,"5","4",4,3.94,3.25,3.33333333333333,2.91666666666667,2.5,3.75
"121",121,129,"1","1",2,3,2.08333333333333,3.75,3,4.41666666666667,3.5
"122",122,130,"7","7",3,3.98,3.33333333333333,4.25,4.16666666666667,3.83333333333333,3.08333333333333
"123",123,131,"5","5",4,3.91,2.83333333333333,4.41666666666667,4.08333333333333,2.33333333333333,3.91666666666667
"124",124,132,"4","7",0,3.84,2.41666666666667,4.33333333333333,3.75,2.58333333333333,3.08333333333333
"125",125,133,"4","7",2,4,3,3.58333333333333,3.41666666666667,3.66666666666667,4
"126",126,134,"4","5",0,3.86,4.58333333333333,4.16666666666667,4.75,2.75,4.83333333333333
"127",127,135,"7","7",3,4,3,4.75,4.83333333333333,1.41666666666667,4.25
